property_type,society,sector,price_in_cr,total_area_sqft,bedrooms,bathrooms,balcony,floornum_category,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession,super_built_up_area_missing,built_up_area_missing,carpet_area_missing,plot_area_missing,area_per_bedroom,dense_house_flag,luxury_category
Independent House,"DLF Phase 2, Gurgaon",sector 25,25.0,4500.0,9,10,3,Low-rise,1,1,0,1,1,north-east,Semi-Furnished,Relatively New,1,1,1,0,500.0,0,Semi-Luxury
Flat,shapoorji pallonji joyville gurugram,sector 102,2.6,1852.0,3,3,3,Mid-rise,0,0,0,0,0,north,Unfurnished,New Property,0,1,1,1,617.3333333333334,0,Semi-Luxury
Independent Builder Floor,"S Block DLF Phase 3, Gurgaon",sector 24,3.72,3400.0,4,4,2,Low-rise,0,1,0,0,0,north-east,Semi-Furnished,New Property,0,1,1,1,850.0,0,Semi-Luxury
Independent Builder Floor,Top Terrace,sector 26,4.89,2430.0,4,4,2,Low-rise,0,1,0,0,1,east,Semi-Furnished,New Property,0,1,1,1,607.5,0,Budget
Independent House,Unitech Uniworld Resorts,sector 33,12.5,4518.0,4,4,3,Low-rise,0,0,0,0,0,not available,Unfurnished,Relatively New,1,1,1,0,1129.5,0,Budget
Flat,smart world orchard,sector 61,2.65,1595.0,3,3,3,Low-rise,1,0,0,0,0,north-west,Unfurnished,Relatively New,1,1,0,1,531.6666666666666,0,Semi-Luxury
Flat,sobha city,sector 108,3.48,1711.0,3,3,2,Mid-rise,0,0,0,0,0,east,Unfurnished,New Property,0,1,1,1,570.3333333333334,0,Budget
Independent Builder Floor,"Palam Vihar, Gurgaon",sector 1,4.45,4680.0,4,4,3+,Low-rise,1,1,0,1,0,north,Unfurnished,New Property,1,1,0,1,1170.0,0,Budget
Independent House,"Sector 1A IMT Manesar, Gurgaon",sector 1,0.19,654.0,1,1,2,Mid-rise,0,0,0,1,0,north-east,Unfurnished,Relatively New,1,1,1,0,654.0,0,Semi-Luxury
Independent House,"DLF Phase 4, Gurgaon",sector 28,12.5,3240.0,4,4,2,Low-rise,1,1,1,1,0,south-east,Unfurnished,Old Property,1,1,1,0,810.0,0,Semi-Luxury
Flat,eldeco acclaim,sector 2,1.25,1269.0,2,2,3,Mid-rise,0,0,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,634.5,0,Budget
Independent Builder Floor,"South City 1, Gurgaon",sector 41,4.25,3240.0,4,4,2,Low-rise,0,1,0,0,0,north-east,Semi-Furnished,New Property,0,1,1,1,810.0,0,Semi-Luxury
Independent Builder Floor,Central Park Flower Valley Cerise Floors,sector 33,1.7,1098.0,2,2,3,Low-rise,1,0,0,0,0,east,Semi-Furnished,New Property,0,1,1,1,549.0,0,Budget
Flat,m3m heights,sector 65,3.41,1828.0,3,3,3,Mid-rise,0,0,0,0,0,north-east,Semi-Furnished,Relatively New,0,1,1,1,609.3333333333334,0,Semi-Luxury
Independent House,"Sector 109, Gurgaon",sector 109,9.0,2430.0,4,4,3,Low-rise,0,1,0,0,0,east,Unfurnished,Relatively New,1,1,1,0,607.5,0,Luxury
Flat,hero homes,sector 104,1.85,1359.0,3,2,2,Mid-rise,0,0,0,0,0,north-east,Unfurnished,New Property,0,1,1,1,453.0,0,Semi-Luxury
Independent Builder Floor,Mayfield Gardens,sector 50,2.6,2700.0,3,3,3,Low-rise,1,1,0,1,1,north-east,Semi-Furnished,Moderately Old,1,1,0,1,900.0,0,Budget
Independent Builder Floor,"Palam Vihar, Gurgaon",sector 1,3.82,4680.0,4,5,2,Low-rise,1,1,1,1,0,south-west,Unfurnished,Relatively New,1,0,1,1,1170.0,0,Semi-Luxury
Flat,ramprastha primera,sector 37,1.65,1800.0,3,3,3+,Mid-rise,0,0,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,600.0,0,Budget
Independent Builder Floor,"Sector 67A, Gurgaon",sector 67,2.9,2700.0,4,4,2,Low-rise,1,1,0,1,0,east,Semi-Furnished,New Property,1,1,0,1,675.0,0,Budget
Flat,sobha city,sector 108,3.48,1711.0,3,3,3,Mid-rise,0,0,0,1,1,north-west,Unfurnished,New Property,0,1,1,1,570.3333333333334,0,Budget
Independent Builder Floor,"DLF Phase 2, Gurgaon",sector 25,3.39,1800.0,3,4,2,Low-rise,0,1,0,0,0,north-east,Furnished,Relatively New,0,1,1,1,600.0,0,Budget
Independent House,"Garhi Harsaru, Gurgaon",sector 92,0.48,630.0,3,3,1,Low-rise,0,0,0,0,0,not available,Unfurnished,Relatively New,1,1,1,0,210.0,1,Budget
Independent House,B block,sector 49,9.0,2430.0,7,6,3,Low-rise,1,1,0,1,1,east,Semi-Furnished,Moderately Old,1,0,0,0,347.14285714285717,0,Semi-Luxury
Flat,m3m golfestate,sector 65,8.6,3510.0,4,4,3+,High-rise,1,1,1,1,0,north,Semi-Furnished,Relatively New,0,1,1,1,877.5,0,Luxury
Flat,bptp park serene,sector 37,2.65,2450.0,4,4,3+,Mid-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,612.5,0,Luxury
Independent Builder Floor,"Block C Palam Vihar, Gurgaon",sector 1,2.49,1500.0,3,3,2,Low-rise,0,1,0,0,0,west,Unfurnished,New Property,1,1,0,1,500.0,0,Semi-Luxury
Flat,intelligentsia apartment,sector 56,2.42,1800.0,3,3,3,Mid-rise,0,0,0,1,0,north-west,Unfurnished,Moderately Old,0,1,1,1,600.0,0,Semi-Luxury
Flat,ireo victory valley,sector 67,5.15,2527.0,3,3,3,Mid-rise,0,1,0,0,0,north,Unfurnished,Relatively New,0,1,1,1,842.3333333333334,0,Semi-Luxury
Flat,tata primanti,sector 72,8.5,4500.0,4,4,3+,Low-rise,1,1,1,1,0,north-east,Furnished,Moderately Old,0,1,1,1,1125.0,0,Luxury
Flat,parsvnath green ville,sector 48,2.32,1945.0,3,3,3,Mid-rise,0,0,0,0,1,north,Unfurnished,Old Property,0,1,1,1,648.3333333333334,0,Semi-Luxury
Flat,spaze privy at4,sector 84,1.7,1610.0,2,2,3,Mid-rise,1,0,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,805.0,0,Semi-Luxury
Flat,spaze privy at4,sector 84,1.65,1610.0,2,2,3,Mid-rise,1,0,0,0,0,north,Unfurnished,New Property,0,1,1,1,805.0,0,Budget
Flat,emaar digihomes,sector 62,3.5,1508.0,2,2,2,Mid-rise,0,0,0,0,0,north,Unfurnished,Relatively New,1,1,0,1,754.0,0,Budget
Flat,ats marigold,sector 89,2.91,2650.0,3,4,3+,High-rise,1,1,0,0,0,south-east,Unfurnished,New Property,0,1,1,1,883.3333333333334,0,Semi-Luxury
Flat,indiabulls centrum park,sector 103,2.1,2000.0,3,3,3+,Mid-rise,1,0,0,0,0,west,Unfurnished,Relatively New,0,1,1,1,666.6666666666666,0,Luxury
Independent House,"Sector 43, Gurgaon",sector 43,6.5,1449.0,4,4,2,Low-rise,0,0,0,1,0,west,Unfurnished,Old Property,1,1,1,0,362.25,0,Semi-Luxury
Independent Builder Floor,"Nirvana Country, Gurgaon",sector 50,5.85,3240.0,4,5,2,Low-rise,1,1,0,1,1,east,Semi-Furnished,Relatively New,1,1,0,1,810.0,0,Budget
Flat,dlf the pinnacle,sector 43,13.5,3979.0,4,5,3+,Mid-rise,0,1,0,0,0,east,Unfurnished,Old Property,0,1,1,1,994.75,0,Budget
Flat,sobha city,sector 108,4.6,2343.0,3,5,2,Mid-rise,0,1,0,0,0,north,Unfurnished,Relatively New,0,1,1,1,781.0,0,Semi-Luxury
Flat,unitech fresco,sector 50,2.76,1877.0,3,4,3+,Mid-rise,0,1,0,0,0,north,Unfurnished,Relatively New,0,1,1,1,625.6666666666666,0,Luxury
Independent House,"DLF Phase 1, Gurgaon",sector 26,6.15,4500.0,4,5,3+,Low-rise,0,0,0,0,1,north-west,Unfurnished,Relatively New,1,1,1,0,1125.0,0,Budget
Independent House,"Block A New Palam Vihar Phase 2, Gurgaon",sector 110,0.9,675.0,2,3,1,Low-rise,0,0,0,0,0,east,Unfurnished,Moderately Old,1,0,1,0,337.5,0,Budget
Flat,m3m merlin,sector 67,5.9,3154.0,4,4,3,Mid-rise,0,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,788.5,0,Budget
Independent Builder Floor,Emaar Emerald Hills,sector 65,2.4,1380.0,3,3,3,Low-rise,0,0,1,0,0,north,Unfurnished,Relatively New,0,1,1,1,460.0,0,Luxury
Independent Builder Floor,M3M Soulitude,sector 89,1.64,1494.0,3,3,2,Low-rise,0,0,0,1,0,north-west,Unfurnished,New Property,1,0,1,1,498.0,0,Luxury
Flat,ats triumph,sector 104,4.05,3150.0,4,4,3+,Mid-rise,0,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,787.5,0,Budget
Independent Builder Floor,Super Luxury Brand New,sector 43,3.0,1935.0,3,3,2,Low-rise,0,1,0,0,0,north,Semi-Furnished,New Property,0,1,1,1,645.0,0,Semi-Luxury
Flat,shapoorji pallonji joyville gurugram,sector 102,2.6,1852.0,3,3,3,Mid-rise,0,0,0,0,0,east,Unfurnished,New Property,0,1,1,1,617.3333333333334,0,Semi-Luxury
Independent Builder Floor,Ansal API Versalia,sector 67,2.6,2430.0,4,4,2,Low-rise,0,1,0,1,0,east,Semi-Furnished,New Property,1,0,1,1,607.5,0,Luxury
Flat,dlf park place,sector 54,7.0,1983.0,3,4,3+,Mid-rise,1,1,0,0,0,south,Semi-Furnished,Old Property,0,1,1,1,661.0,0,Semi-Luxury
Flat,tata primanti,sector 72,5.75,2905.0,4,4,3+,Low-rise,0,1,0,0,0,north,Semi-Furnished,Moderately Old,0,1,1,1,726.25,0,Luxury
Independent House,"HUDA Plots, Sector 40, Gurgaon",sector 40,3.4,918.0,3,4,2,Low-rise,0,0,1,0,0,north-west,Unfurnished,Old Property,1,1,1,0,306.0,0,Semi-Luxury
Independent House,"Farukhnagar, Gurgaon",farukhnagar,1.2,1800.0,5,4,3,Low-rise,0,0,0,0,0,south-east,Unfurnished,Relatively New,1,1,1,0,360.0,0,Budget
Independent House,"Dayanand Colony, Gurgaon",sector 6,1.35,750.0,3,3,2,Low-rise,0,0,0,0,0,west,Unfurnished,Relatively New,1,1,1,0,250.0,1,Budget
Flat,tarc maceo,sector 91,1.4,1404.0,2,2,3,Mid-rise,0,0,0,0,0,north,Unfurnished,Relatively New,0,1,1,1,702.0,0,Budget
Independent House,"Sector 9, Gurgaon",sector 9,3.7,1440.0,4,3,2,Low-rise,1,1,0,1,0,east,Furnished,Moderately Old,1,0,0,0,360.0,0,Luxury
Flat,tulip violet,sector 69,2.42,1578.0,3,3,2,Low-rise,0,0,0,1,0,west,Unfurnished,Relatively New,0,1,1,1,526.0,0,Budget
Independent House,Experion Windchants,sector 112,14.49,7400.0,5,6,3,Low-rise,0,1,1,0,0,north-east,Semi-Furnished,New Property,1,0,1,1,1480.0,0,Luxury
Independent House,Vipul Tatvam Villa,sector 48,11.5,4000.0,4,5,2,Low-rise,1,1,1,0,0,north,Semi-Furnished,Moderately Old,1,1,0,1,1000.0,0,Luxury
Independent House,DLF City Plots Phase 2,sector 25,12.0,2745.0,6,5,2,Low-rise,1,1,0,1,1,north-east,Unfurnished,Old Property,1,1,1,0,457.5,0,Budget
Independent Builder Floor,"Sector 23, Gurgaon",sector 23,2.9,2430.0,3,3,2,Low-rise,0,0,1,1,0,east,Unfurnished,Relatively New,1,0,1,1,810.0,0,Budget
Independent Builder Floor,DLF Garden City Floors,sector 92,3.85,1978.0,4,5,3,Low-rise,0,1,1,0,0,west,Semi-Furnished,Relatively New,1,1,0,1,494.5,0,Semi-Luxury
Flat,conscient elevate,sector 59,6.3,2595.0,3,3,2,Low-rise,1,1,0,0,1,east,Semi-Furnished,New Property,0,1,1,1,865.0,0,Budget
Flat,chintels serenity,sector 109,2.3,1590.0,3,3,3+,Mid-rise,0,0,0,1,0,south-west,Unfurnished,Relatively New,0,1,1,1,530.0,0,Luxury
Flat,45 pragati hills,sector 47,2.7,2400.0,3,3,3,Mid-rise,0,1,0,0,0,south,Furnished,Old Property,0,1,1,1,800.0,0,Budget
Independent House,"Sector 7, Gurgaon",sector 7,8.25,3600.0,4,5,2,Low-rise,0,0,0,0,0,north-east,Unfurnished,Old Property,1,0,1,1,900.0,0,Semi-Luxury
Independent Builder Floor,"Sector-35 Sohna, Gurgaon",sector 35,1.62,1467.0,3,3,3,Low-rise,0,0,0,1,0,east,Semi-Furnished,New Property,0,1,1,1,489.0,0,Luxury
Flat,dlf the skycourt,sector 86,2.3,1929.0,3,3,2,Low-rise,0,0,0,0,0,not available,Unfurnished,Moderately Old,1,1,0,1,643.0,0,Budget
Flat,conscient elevate,sector 59,8.5,3395.0,4,4,3,High-rise,0,1,0,0,0,east,Unfurnished,New Property,0,1,1,1,848.75,0,Budget
Flat,m3m escala,sector 70,2.1,1512.0,2,2,2,Mid-rise,0,1,0,0,0,north-east,Furnished,Moderately Old,1,0,1,1,756.0,0,Semi-Luxury
Independent House,"Sushant lok 1 kothi ,sushant lok 1",sector 43,13.0,2700.0,9,9,3+,Low-rise,1,1,1,1,0,south-east,Semi-Furnished,Moderately Old,1,1,1,0,300.0,0,Luxury
Independent House,"Sushant Lok Phase 3, Gurgaon",sector 57,12.15,3762.0,7,8,3+,Low-rise,0,1,1,1,0,south-west,Furnished,Moderately Old,1,1,1,0,537.4285714285714,0,Luxury
Flat,greenopolis,sector 89,1.57,1910.0,3,3,3,Low-rise,0,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,636.6666666666666,0,Luxury
Flat,bestech altura,sector 79,2.46,2015.0,3,3,2,Mid-rise,0,0,0,0,1,east,Unfurnished,New Property,0,1,1,1,671.6666666666666,0,Budget
Flat,eldeco accolade,sector 33,1.25,1250.0,2,2,1,Low-rise,0,1,1,1,0,east,Unfurnished,Relatively New,0,1,1,1,625.0,0,Budget
Flat,bptp park serene,sector 37,2.7,2450.0,4,4,3+,Mid-rise,0,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,612.5,0,Luxury
Flat,hero homes,sector 104,1.91,1359.0,3,2,2,Mid-rise,0,0,0,0,0,north-east,Unfurnished,New Property,0,1,1,1,453.0,0,Budget
Flat,emaar palm gardens,sector 83,2.55,1900.0,3,4,3,Mid-rise,0,1,0,0,0,north,Unfurnished,Relatively New,0,1,1,1,633.3333333333334,0,Luxury
Flat,puri diplomatic greens,sector 111,4.6,2950.0,4,5,3+,Mid-rise,0,1,0,0,0,north-east,Unfurnished,Old Property,0,1,1,1,737.5,0,Semi-Luxury
Flat,smart world orchard,sector 61,2.75,1712.0,3,3,2,Low-rise,1,0,0,0,0,east,Unfurnished,New Property,1,0,1,1,570.6666666666666,0,Semi-Luxury
Flat,ireo the corridors,sector 67,2.25,1296.0,2,2,2,Low-rise,0,0,0,0,0,north,Unfurnished,Relatively New,0,1,1,1,648.0,0,Budget
Independent Builder Floor,"Palam Vihar, Gurgaon",sector 1,3.2,2278.0,4,4,2,Low-rise,0,1,0,1,0,north-east,Unfurnished,New Property,0,1,1,1,569.5,0,Budget
Flat,aipl the peaceful homes,sector 70,4.0,2350.0,3,4,3,High-rise,1,1,0,0,0,east,Furnished,Moderately Old,0,1,1,1,783.3333333333334,0,Semi-Luxury
Independent House,sector 47,sector 47,5.15,1449.0,6,6,3,Low-rise,0,0,0,0,0,north-east,Unfurnished,Relatively New,1,1,1,0,241.5,1,Luxury
Independent House,Paras Dews,sector 106,1.95,1760.0,3,3,3,High-rise,0,1,0,0,0,east,Unfurnished,Relatively New,1,0,0,0,586.6666666666666,0,Luxury
Independent Builder Floor,DLF Gardencity Enclave,sector 93,1.92,1450.0,3,3,2,Low-rise,1,0,0,1,1,east,Semi-Furnished,New Property,0,1,1,1,483.3333333333333,0,Luxury
Independent House,"DLF Phase 3, Gurgaon",sector 24,3.25,2800.0,11,11,3+,Low-rise,0,0,0,0,0,north,Unfurnished,New Property,1,1,1,0,254.54545454545453,1,Budget
Flat,mapsko royale ville,sector 82,1.86,1790.0,3,4,2,Mid-rise,0,1,0,0,0,south-east,Unfurnished,Moderately Old,0,1,1,1,596.6666666666666,0,Semi-Luxury
Flat,silverglades the melia,sector 35,1.8,1845.0,3,3,3,Mid-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,615.0,0,Semi-Luxury
Flat,ss the leaf,sector 85,2.77,2408.0,3,4,3,Mid-rise,0,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,802.6666666666666,0,Luxury
Independent House,"Friends Colony, Gurgaon",sector 15,3.1,1558.0,1,1,0,Low-rise,0,0,0,0,0,not available,Unfurnished,Old Property,1,0,1,1,1558.0,0,Budget
Independent House,"Saraswati Vihar, Gurgaon",sector 28,2.5,1400.0,7,5,0,Low-rise,0,0,0,0,0,not available,Unfurnished,Moderately Old,1,0,1,1,200.0,1,Budget
Flat,central park flower valley aqua front towers,sector 33,1.5,456.0,1,1,1,Mid-rise,0,0,0,0,0,north,Furnished,New Property,1,1,0,1,456.0,0,Luxury
Flat,raheja vedaanta,sector 108,1.62,1838.0,3,3,2,Mid-rise,0,0,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,612.6666666666666,0,Budget
Independent Builder Floor,"Greenwood City, Gurgaon",sector 45,6.2,4518.0,4,5,2,Low-rise,1,1,1,1,0,north-east,Semi-Furnished,New Property,0,1,1,1,1129.5,0,Semi-Luxury
Flat,la vida by tata housing,sector 113,3.2,2217.0,3,3,3,High-rise,0,1,0,0,0,east,Unfurnished,New Property,0,1,1,1,739.0,0,Budget
Flat,bestech park view ananda,sector 81,1.52,1360.0,2,2,3,Low-rise,0,0,0,0,0,east,Unfurnished,Moderately Old,0,1,1,1,680.0,0,Budget
Independent House,Ansals Palam Vihar,sector 1,5.55,2727.0,5,5,2,Low-rise,0,1,1,0,0,north,Unfurnished,Old Property,1,1,1,0,545.4,0,Luxury
Flat,emaar emerald hills,sector 65,2.6,1020.0,2,2,3,Low-rise,0,0,1,0,0,east,Semi-Furnished,Relatively New,0,1,1,1,510.0,0,Luxury
Independent House,Eros Rosewood City,sector 49,5.25,1710.0,3,3,2,Low-rise,0,0,0,1,0,east,Unfurnished,Moderately Old,1,0,0,0,570.0,0,Semi-Luxury
Flat,mapsko casa bella,sector 82,2.75,2535.0,4,5,3+,Low-rise,0,1,0,0,0,south-west,Unfurnished,Relatively New,0,1,1,1,633.75,0,Budget
Independent House,"DLF Phase 4, Gurgaon",sector 28,12.5,3240.0,5,6,3+,Low-rise,1,1,1,1,0,east,Semi-Furnished,Moderately Old,1,1,1,0,648.0,0,Luxury
Flat,adani m2k oyster grande,sector 102,2.6,1898.0,3,3,3,Mid-rise,0,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,632.6666666666666,0,Semi-Luxury
Independent Builder Floor,"Sector 57, Gurgaon",sector 57,3.15,2700.0,4,4,2,Low-rise,1,1,0,1,0,north,Semi-Furnished,New Property,1,1,0,1,675.0,0,Budget
Independent House,"Laxman Vihar Phase 2, Gurgaon",sector 3,0.75,680.0,3,3,1,Low-rise,0,0,0,0,1,east,Unfurnished,New Property,1,1,0,0,226.66666666666666,1,Budget
Flat,ireo the corridors,sector 67,2.3,1485.0,2,3,3,Low-rise,1,0,0,0,0,north,Furnished,New Property,0,1,1,1,742.5,0,Semi-Luxury
Independent Builder Floor,"DLF Phase 1, Gurgaon",sector 26,3.1,1500.0,3,3,2,Low-rise,0,1,0,0,0,north-east,Semi-Furnished,Relatively New,1,1,0,1,500.0,0,Semi-Luxury
Flat,hero homes,sector 104,2.35,1689.0,3,3,3,Mid-rise,0,0,0,1,0,north-east,Semi-Furnished,New Property,0,1,1,1,563.0,0,Budget
Independent House,Satya The Legend,sector 57,16.5,6498.0,5,8,3+,Low-rise,1,1,1,1,0,north-east,Furnished,Relatively New,1,1,1,0,1299.6,0,Luxury
Independent Builder Floor,SS Linden Floors,sector 84,3.0,2800.0,4,4,3+,Low-rise,0,1,0,0,0,east,Unfurnished,New Property,1,1,0,1,700.0,0,Semi-Luxury
Flat,emaar mgf palm terraces select,sector 66,4.1,2410.0,4,5,3+,Low-rise,0,1,0,1,0,not available,Semi-Furnished,Relatively New,0,1,1,1,602.5,0,Luxury
Flat,millenium apartment,sector 47,2.75,2370.0,4,4,3,Mid-rise,0,0,0,1,0,east,Unfurnished,Old Property,0,1,1,1,592.5,0,Semi-Luxury
Independent House,Huda Flats,sector 57,2.5,2723.0,5,4,0,Low-rise,0,0,0,0,0,not available,Unfurnished,Moderately Old,1,1,1,0,544.6,0,Budget
Independent Builder Floor,Smart World Gems,sector 89,1.35,969.0,2,2,2,Low-rise,1,1,0,0,0,north,Unfurnished,New Property,1,1,0,1,484.5,0,Budget
Flat,bestech park view city 2,sector 49,3.02,1859.0,3,4,3+,Mid-rise,0,1,0,0,0,north-east,Furnished,Relatively New,0,1,1,1,619.6666666666666,0,Budget
Flat,greenopolis,sector 89,1.59,1910.0,3,3,3,Mid-rise,0,1,0,0,0,east,Furnished,Relatively New,0,1,1,1,636.6666666666666,0,Semi-Luxury
Flat,pioneer urban presidia,sector 62,10.75,4337.0,5,5,2,Mid-rise,1,1,1,0,0,not available,Unfurnished,Moderately Old,0,1,1,1,867.4,0,Semi-Luxury
Independent House,International City by SOBHA Phase 2,sector 109,8.5,5400.0,4,4,2,Low-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,1,1,1,0,1350.0,0,Luxury
Independent House,"Sector 17B, Gurgaon",sector 17,6.57,2367.0,7,8,3+,Low-rise,1,1,1,1,0,south-east,Semi-Furnished,Old Property,1,1,1,0,338.14285714285717,0,Luxury
Flat,mahindra aura,sector 110,2.75,1954.0,3,4,3+,Mid-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,651.3333333333334,0,Budget
Flat,mapsko royale ville,sector 82,4.95,5320.0,5,6,3+,Mid-rise,0,1,0,1,0,west,Unfurnished,Relatively New,0,1,1,1,1064.0,0,Semi-Luxury
Independent Builder Floor,Private Builder Floor,sector 49,3.9,3500.0,4,4,2,Low-rise,0,1,0,0,0,north-east,Semi-Furnished,New Property,0,1,1,1,875.0,0,Luxury
Flat,ats triumph,sector 104,2.65,2290.0,3,4,3+,High-rise,0,0,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,763.3333333333334,0,Luxury
Flat,m3m golfestate,sector 65,12.5,4992.0,5,5,3+,Mid-rise,1,1,1,1,0,north,Furnished,Relatively New,0,1,1,1,998.4,0,Luxury
Independent House,"Sector 46, Gurgaon",sector 46,5.6,1449.0,6,6,2,Low-rise,0,0,0,0,0,north-west,Unfurnished,Relatively New,1,1,1,0,241.5,1,Semi-Luxury
Independent House,"V Block DLF Phase 3, Gurgaon",sector 24,9.5,2844.0,4,5,3+,Low-rise,1,1,1,1,0,north-east,Unfurnished,Moderately Old,1,1,1,0,711.0,0,Luxury
Independent House,"Sector 5, Gurgaon",sector 5,3.5,1449.0,4,4,2,Low-rise,0,0,0,1,0,south-west,Unfurnished,Old Property,1,1,1,0,362.25,0,Budget
Flat,hero homes,sector 104,1.65,1099.0,2,2,2,High-rise,0,0,0,0,0,not available,Unfurnished,Relatively New,0,1,1,1,549.5,0,Budget
Independent Builder Floor,Ansal API Esencia,sector 67,2.6,2250.0,3,3,2,Low-rise,0,0,0,1,0,north,Semi-Furnished,New Property,1,1,0,1,750.0,0,Budget
Flat,signature global orchard avenue 2,sector 93,0.68,700.0,2,2,3,Mid-rise,0,0,0,0,0,north,Unfurnished,New Property,1,0,1,1,350.0,0,Budget
Independent House,Emaar MGF Marbella,sector 66,18.0,3150.0,5,6,2,Low-rise,1,1,1,1,0,south-east,Semi-Furnished,Relatively New,1,1,1,0,630.0,0,Luxury
Independent House,Basement Plus 3 Floors,sector 25,12.5,2700.0,9,9,3+,Low-rise,0,1,1,0,0,south-west,Semi-Furnished,Old Property,1,1,1,0,300.0,0,Semi-Luxury
Flat,alpha corp gurgaonone 84,sector 84,3.62,3434.0,4,4,3+,Mid-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,858.5,0,Semi-Luxury
Independent Builder Floor,Smart World Gems,sector 89,1.62,1494.0,3,3,3,Low-rise,1,0,0,0,0,north-west,Unfurnished,Relatively New,1,1,0,1,498.0,0,Luxury
Independent Builder Floor,Ansal API Versalia,sector 67,2.68,2400.0,4,4,2,Low-rise,0,1,0,1,0,east,Semi-Furnished,New Property,1,0,1,1,600.0,0,Luxury
Flat,bestech park view sanskruti,sector 92,2.84,2475.0,4,5,3,Mid-rise,0,1,0,0,0,north-east,Unfurnished,Relatively New,0,1,1,1,618.75,0,Budget
Independent House,executive villas lane,sector 43,16.0,2691.0,6,4,2,Low-rise,0,0,0,0,0,south,Unfurnished,Old Property,1,1,1,0,448.5,0,Semi-Luxury
Independent Builder Floor,Independent Floor by Vibrant Builders,sector 57,3.45,2700.0,4,4,2,Low-rise,0,1,0,1,0,north,Semi-Furnished,New Property,0,1,1,1,675.0,0,Budget
Flat,ats marigold,sector 89,2.45,2150.0,3,4,3+,High-rise,0,1,0,0,0,south-east,Unfurnished,New Property,0,1,1,1,716.6666666666666,0,Semi-Luxury
Flat,bptp park serene,sector 37,2.05,1814.0,3,3,3+,Mid-rise,0,0,0,0,0,south,Unfurnished,Relatively New,0,1,1,1,604.6666666666666,0,Budget
Flat,vatika city homes,sector 83,1.25,1355.0,2,2,1,Low-rise,0,0,0,0,0,east,Unfurnished,Moderately Old,0,1,1,1,677.5,0,Budget
Independent House,"Sector 4, Gurgaon",sector 4,4.5,2250.0,6,6,2,Low-rise,0,0,1,1,0,north-east,Unfurnished,Moderately Old,1,1,1,0,375.0,0,Semi-Luxury
Independent House,"B Block Pocket B Palam Vihar, Gurgaon",sector 1,1.65,594.0,2,3,3,Low-rise,1,0,0,0,0,not available,Unfurnished,Moderately Old,1,1,1,0,297.0,0,Budget
Independent House,SS Hibiscus,sector 50,17.0,4230.0,4,5,3,Low-rise,1,1,1,1,0,east,Semi-Furnished,Moderately Old,1,1,1,0,1057.5,0,Luxury
Flat,dlf the belaire,sector 54,11.55,3065.0,4,4,3+,Mid-rise,0,1,0,0,0,east,Semi-Furnished,Old Property,0,1,1,1,766.25,0,Semi-Luxury
Flat,emaar imperial gardens,sector 102,2.38,2025.0,3,4,3+,Mid-rise,0,1,0,0,0,east,Unfurnished,Relatively New,0,1,1,1,675.0,0,Luxury
Independent House,"Sector 10A, Gurgaon",sector 10,1.5,648.0,3,3,3,Low-rise,1,0,0,0,0,north-east,Unfurnished,Relatively New,1,1,1,0,216.0,1,Semi-Luxury
Flat,m3m heights,sector 65,3.38,1828.0,3,3,3+,Mid-rise,0,0,1,0,0,north-east,Semi-Furnished,Relatively New,0,1,1,1,609.3333333333334,0,Semi-Luxury
Independent House,Ansal Florence Super,sector 57,9.5,2700.0,4,4,3,Low-rise,0,0,0,0,1,east,Unfurnished,Old Property,1,0,0,0,675.0,0,Budget
Flat,emaar mgf emerald floors premier,sector 65,3.01,1600.0,3,3,2,Low-rise,1,0,0,0,0,north,Unfurnished,Moderately Old,0,1,1,1,533.3333333333334,0,Luxury
Independent Builder Floor,"South City 1, Gurgaon",sector 41,3.99,2200.0,4,5,2,Low-rise,1,0,0,1,0,north-east,Semi-Furnished,New Property,0,1,1,1,550.0,0,Luxury
Independent Builder Floor,Ansal Homes,sector 57,3.25,2700.0,4,4,2,Low-rise,0,1,0,1,0,east,Semi-Furnished,Relatively New,1,0,1,1,675.0,0,Semi-Luxury
Independent House,"Block M DLF phase 2, Gurgaon",sector 25,8.75,1935.0,4,4,3+,Low-rise,0,1,0,0,0,south,Unfurnished,Old Property,1,1,1,0,483.75,0,Budget
